count,firstDocument,lastDocument,nextUrl,resultItemList.detailUrl,resultItemList.jobTitle,resultItemList.company,resultItemList.location,resultItemList.date,,,
1,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10105424/5795687-700?src=19,jr-mid .NET Developer - no corp to corp,TEKsystems,,,,
2,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10452799/426122?src=19,Project Manager - Need Local to Colorado,Paramount Software Solutions,,,,
3,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cxtechsj1/600561?src=19,Desktop Support,Nelson Technology,Modesto,,,
4,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10271304/674089?src=19,Eloqua Developer,Net2Source Inc.,White Plains,,,
5,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10226217/92514-en_US?src=19,Lead Data Center Facilities (Electrical),CenturyLink,Waltham,,,
6,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10106768/29878?src=19,IBM InfoSphere MDM Programmer,World Technologies,,,,
7,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10209855/590471?src=19,Senior Big Data Architect,Daugherty Business Solutions,Saint Louis,,,
8,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/micca003/JO#AA5132PMPP?src=19,Project Manager - eCommerce with Payment Processing,Mice Groups,Pittsburgh,,,
9,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/19462?src=19,IT Recruiter,TAD PGS,,,,
10,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10271304/727880?src=19,BA with Tax Advisory exp for Fulltime at FL,Net2Source Inc.,tampa,,,
11,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/Edgeny/TechSuppNetwork?src=19,Technical Support Engineer/Network Products,Edge Technology Services,,,,
12,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10110574/244013?src=19,Senior Network Field Operations Engineer,NYC Dept of Info Technology (DoITT),Brooklyn,,,
13,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10110992/728930?src=19,Design Verification Engineer -7572,Xpeerant Inc.,San Diego,,,
14,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/22296?src=19,Software Engineer,TAD PGS,,,,
15,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cybercod/ES1-131628533?src=19,Senior Ruby Engineer,CyberCoders,New York,,,
16,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/CVTY/27745004286371345?src=19,Medical Claim Analytics- Project Lead,Aetna,New Albany,,,
17,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/20466?src=19,Processor (Tube Assembly) - 1st Shift,TAD PGS,,,,
18,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/80122034/az-HadoopAdmin3?src=19,Hadoop Administrator,Kollasoft Inc.,Phoenix,,,
19,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/RTX156c62/731554?src=19,Client Onboarding Engineer,Dataprise,,,,
20,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10167781/741466?src=19,Marketing Specialist,XPAND Corporation,Herndon,,,
21,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/22491?src=19,Processor (Photo Cathode) - 3rd Shift,TAD PGS,,,,
22,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/cybercod/RK1-13240831?src=19,Senior Power Electronics Engineer -- Innovation Award Winner,CyberCoders,Chicago,,,
23,2345,1,50,/api/rest/jobsearch/v1/simple.json?areacode=&country=&state=&skill=Owning+Up+To+The+Title&city=&text=&ip=&diceid=&page=2,http://www.dice.com/job/result/10285720a/18681?src=19,Mid-level Intelligence Analyst (Synchronize Cyber Intelligence E,TAD PGS,,,,
